Transaction_ID,Customer_ID,Date,Amount,Product_Category
1,397,2024-01-24,209.51991467333625,Sports
2,814,2024-05-08,319.9918965438805,Electronics
3,945,2024-01-20,217.0604017877213,Sports
4,274,2024-03-21,388.8929281454427,Clothing
5,605,2023-10-14,17.82465350935842,Home & Garden
6,414,2023-10-02,73.59962775576153,Clothing
7,449,2024-04-25,492.33807450531737,Sports
8,792,2023-09-10,415.46717739237386,Electronics
9,884,2023-10-09,450.29338044805627,Home & Garden
10,979,2024-04-16,38.39721265383186,Beauty
11,993,2024-02-13,460.15973195142385,Clothing
12,265,2024-02-21,31.41208689577774,Electronics
13,726,2024-05-22,18.107680039305823,Sports
14,99,2024-05-19,315.3396098900591,Home & Garden
15,796,2023-06-24,167.7730294746156,Beauty
16,298,2023-06-07,257.2711312681404,Beauty
17,158,2024-02-11,35.71743571845976,Electronics
18,373,2023-12-30,209.88862716306943,Clothing
19,486,2024-03-25,187.73772279216442,Sports
20,742,2024-01-29,65.85107478308426,Clothing
21,20,2024-01-17,454.11658001624784,Home & Garden
22,570,2024-05-18,329.21635022034195,Clothing
23,312,2024-01-03,357.5270550289714,Sports
24,749,2024-05-23,464.54443675778003,Beauty
25,820,2023-10-09,68.27345022431518,Clothing
26,209,2023-10-07,31.010060766710634,Clothing
27,708,2023-07-04,119.16218212511545,Electronics
28,624,2023-11-03,14.661003950345393,Clothing
29,105,2023-12-05,72.92118955861548,Home & Garden
30,820,2023-07-04,166.61668476696258,Beauty
31,513,2024-05-05,229.3632919601568,Sports
32,857,2023-07-23,81.47296389061219,Sports
33,433,2023-08-03,27.861031431218258,Electronics
34,506,2024-02-07,73.98115684874998,Beauty
35,922,2024-03-26,235.302686825971,Clothing
36,509,2023-06-20,24.780412067325955,Sports
37,102,2023-10-26,307.7411039959579,Electronics
38,727,2023-10-11,118.82087093406906,Electronics
39,426,2024-04-18,132.44254597848337,Sports
40,349,2023-09-25,14.698367107962907,Electronics
41,989,2023-11-07,130.78306599261578,Sports
42,894,2024-02-16,241.66731692866344,Clothing
43,181,2023-09-13,67.96487579934544,Beauty
44,111,2023-07-30,151.47672746645085,Electronics
45,594,2023-09-13,454.25266218121544,Sports
46,991,2023-10-10,87.70387880249837,Beauty
47,561,2023-08-08,140.95555115371812,Sports
48,65,2023-10-16,142.2932168330029,Sports
49,773,2024-01-01,220.96703923734918,Home & Garden
50,704,2024-05-19,179.11911585864536,Beauty
51,884,2024-03-29,28.661200455075964,Beauty
52,857,2023-07-29,374.3744125349466,Electronics
53,500,2023-07-04,225.26197437818675,Electronics
54,9,2023-08-14,334.22335984383034,Sports
55,215,2023-08-20,39.87885257151627,Clothing
56,778,2024-05-18,450.32696153491486,Home & Garden
57,422,2024-01-05,118.99357269138764,Clothing
58,403,2023-06-15,80.0716320520135,Electronics
59,22,2023-08-12,77.17558058939659,Home & Garden
60,810,2024-03-28,475.1693095094941,Electronics
61,248,2024-03-11,240.4565046002495,Sports
62,416,2024-02-13,433.4920768098808,Home & Garden
63,901,2024-03-24,348.1018375015091,Home & Garden
64,158,2023-11-24,493.8564391255871,Beauty
65,310,2024-04-10,10.927477472681765,Home & Garden
66,134,2023-10-06,489.06706345163974,Clothing
67,599,2024-02-27,189.1342552693451,Electronics
68,410,2023-08-20,299.59923948596264,Electronics
69,442,2023-12-08,124.376703898167,Sports
70,236,2023-09-13,51.83395402530201,Sports
71,165,2023-10-02,300.8836183392818,Sports
72,457,2023-11-12,473.4489847188715,Beauty
73,576,2023-10-14,429.0424911170227,Clothing
74,363,2023-08-12,40.311893428199475,Electronics
75,80,2023-12-08,221.32448469095573,Sports
76,188,2024-04-01,298.6178698765446,Electronics
77,91,2024-02-20,321.4063498913651,Electronics
78,698,2024-02-15,19.5289313300648,Sports
79,480,2023-09-08,406.5444380980275,Sports
80,768,2023-07-29,461.8760964381772,Home & Garden
81,410,2023-11-09,41.87226333903204,Electronics
82,523,2023-08-10,221.82083625351626,Clothing
83,277,2023-09-26,185.2735361540779,Clothing
84,819,2023-07-25,351.58387466086407,Clothing
85,340,2024-04-14,372.8091033595065,Beauty
86,851,2023-10-16,312.4217008873514,Clothing
87,683,2023-06-02,152.67913611373746,Clothing
88,391,2023-10-19,287.1294515725441,Home & Garden
89,740,2023-12-28,54.79022082910642,Beauty
90,584,2023-09-03,294.20136441273667,Clothing
91,59,2023-11-26,325.70839725421035,Sports
92,577,2024-01-26,127.12776676640533,Electronics
93,849,2024-05-02,438.3811507933896,Clothing
94,522,2023-11-14,223.27493148296224,Home & Garden
95,426,2023-08-28,86.03857107855795,Home & Garden
96,834,2024-01-07,114.4010953838427,Electronics
97,943,2023-09-26,327.0925979098907,Beauty
98,418,2023-07-10,27.13139174508796,Clothing
99,238,2023-07-31,114.07531892100617,Home & Garden
100,113,2024-03-05,31.483479800679817,Electronics
101,46,2023-10-18,491.54438306119766,Sports
102,754,2023-07-23,396.65172564987415,Clothing
103,728,2023-12-09,495.91993049159925,Clothing
104,51,2023-11-25,55.995569886822715,Electronics
105,311,2024-04-26,489.0529583263762,Beauty
106,364,2024-01-20,217.69499002305983,Electronics
107,722,2024-02-28,157.61266131655452,Home & Garden
108,157,2024-01-31,305.8005313002967,Electronics
109,678,2023-08-17,156.79085470015897,Sports
110,273,2023-08-12,293.7217808080369,Beauty
111,603,2023-08-30,19.340656352152422,Home & Garden
112,29,2023-06-01,197.25727910331432,Sports
113,243,2024-02-02,467.5894818327606,Beauty
114,261,2023-12-02,235.11181888358377,Home & Garden
115,812,2024-03-26,293.829623435075,Electronics
116,771,2023-06-30,254.34626811343844,Electronics
117,895,2024-01-20,247.58932335799017,Sports
118,231,2023-09-19,57.351138479458164,Electronics
119,641,2024-02-26,465.27896370611427,Electronics
120,693,2023-11-26,45.67480187244403,Home & Garden
121,92,2023-07-27,137.83303020004797,Sports
